Artist - Song
Faith Hill - Breathe
Santana & The Product G - Maria Maria
Joe Thomas - I Wanna Know
Aaliyah - Try Again
Toni Braxton - He Wasn't Man Enough
Rob Thomas & Santana - Smooth
Vertical Horizon - Everything You Want
Destiny's Child - Say My Name
Lonestar - Amazed
Matchbox Twenty - Bent
Madonna - Music
Sisqo - Thong Song
Three Doors Down - Kryptonite
Destiny's Child - Jumpin' Jumpin'
Creed - Higher
Pink - There You Go
Sonique - It Feels So Good
Marc Anthony - You Sang To Me
Macy Gray - I Try
"N Sync - Bye, Bye, Bye"
Janet Jackson - Doesn't Really Matter
Nelly - (Hot S**t) Country Grammar
Creed - With Arms Wide Open
Savage Garden - I Knew I Loved You
N Sync - It's Gonna Be Me
Christina Aguilera - What A Girl Wants
Montell Jordan - Get It On Tonite
The Backstreet Boys - Show Me The Meaning Of Being Lonely
Sisqo - Incomplete
Eminem - The Real Slim Shady
Sting & Cheb Mami - Desert Rose
Britney Spears - Oops!... I Did It Again
Christina Aguilera - Come On Over Baby (All I Want Is You)
Enrique Iglesias - Be With You
Celine Dion - That's The Way It Is
Faith Hill - The Way You Love Me
Ruff Endz - No More
BBMak - Back Here
Nine Days - Absolutely (Story Of A Girl)
Bon Jovi - It's My Life
Marc Anthony - I Need To Know
Pink - Most Girls
blink-182 - All The Small Things
Destiny's Child - Independent Woman
Brian McKnight - Back At One
Christina Aguilera - I Turn To You
Samantha Mumba - Gotta Tell You
Mya - Case Of The Ex (Whatcha Gonna Do)
Mariah Carey - Thank God I Found You
Mary Mary - Shackles (Praise You)
LeAnn Rimes - I Need You
Blaque - Bring It All To Me
Next - Wifey
Jagged Edge - Let's Get Married
Third Eye Blind - Never Let You Go
"Missy 'Misdemeanor' Elliott, NAS & Eve - Hot Boyz"
Eiffel 65 - Blue (Da Ba Dee)
Red Hot Chili Peppers - Otherside
Kandi - Don't Think I'm Not
98 Degrees - Give Me Just One Night
Everclear - Wonderful
Madonna - American Pie
Dr Dre & Snoop Dogg - The Next Episode
"Dr Dre, Eminem & Skylar Grey - Forgot About Dre"
Mystikal - Shake Ya Ass
SoulDecision & Thrust - Faded
Debelah Morgan - Dance With Me
Son By Four - Purest Of Pain (A Puro Dolor)
Whitney Houston & Enrique Iglesias - Could I Have This Kiss Forever
The Backstreet Boys - Shape Of My Heart
Erykah Badu - Bag Lady
N Sync - This I Promise You
Jay-Z & UGK - Big Pimpin'
Ricky Martin - She Bangs
Baha Men - Who Let The Dogs Out?
Britney Spears - Lucky
Savage Garden - Crash & Burn
Avant - Separated
Smash Mouth - Then The Morning Comes
Carl Thomas - I Wish
Anastacia - I'm Outta Love
R Kelly - I Wish
Bomfunk MCs - Freestyler
Kid Rock - Only God Knows Why
DMX - Party Up (Up In Here)
Lara Fabian - I Will Love Again
Alice DeeJay - Better Off Alone
Filter - Take A Picture
Jessica Simpson - I Wanna Love You Forever
Westlife - Swear It Again
Jessica Simpson - I Think I'm In Love With You
Bloodhound Gang - The Bad Touch
Jo Dee Messina - That's The Way
Vertical Horizon - You're A God
Bow Wow - Bounce With Me
Chad Brock - Yes!
Jagged Edge - He Can't Love U
Da Brat & Tyrese - What'chu Like
U2 - Beautiful Day
Ja Rule & Christina Milian - Between Me & You
Lifehouse - Hanging By A Moment
Alicia Keys - Fallin'
Train - Drops Of Jupiter (Tell Me)
Eve & Gwen Stefani - Let Me Blow Ya Mind
Shaggy - Angel
Dido - Thank You
Jennifer Lopez & Ja Rule - I'm Real
Shaggy & Ricardo 'RikRok' Ducent - It Wasn't Me
Mary J Blige - Family Affair
"Christina Aguilera, Lil' Kim, Mya & Pink - Lady Marmalade (Voulez-Vous Coucher Aver Moi Ce Soir?)"
Uncle Kracker - Follow Me
Staind - It's Been Awhile
Janet Jackson - All For You
Blu Cantrell - Hit 'em Up Style (Oops!)
Usher - U Remind Me
Nelly & City Spud - Ride Wit Me
Crazy Town - Butterfly
Jagged Edge & Nelly - Where The Party At
Joe Thomas & Mystikal - Stutter
Lenny Kravitz - Again
Incubus - Drive
Destiny's Child - Survivor
City High - What Would You Do?
Matchbox Twenty - If You're Gone
112 - Peaches 'n' Cream
Jennifer Lopez - Love Don't Cost A Thing
OutKast - Ms Jackson
Nelly Furtado - I'm Like A Bird
Missy 'Misdemeanor' Elliott - Get Ur Freak On
Destiny's Child - Independent Woman
Craig David - Fill Me In
